Qty (per board),URL to purchase,Value,Device,Package,Parts,Description
1,https://www.mouser.com/ProductDetail/onsemi/MBR0520LT1G?qs=3JMERSakebqBWTiPUQp0nw%3D%3D,,DIODE_SOD-123,SOD-123,D1,Library:  MF_Discrete_Semiconductor
4,DNP,,HEADER_01X03_PTH_2.54MM,PTH_2.54MM_01X03,"3V3, GND, V+, VIN",Library:  MF_Connectors
1,DNP,,HEADER_01X06_PTH_2.54MM,PTH_2.54MM_01X06,J3,Library:  MF_Connectors
1,DNP,,HEADER_01X10_PTH_2.54MM,PTH_2.54MM_01X10,J2,Library:  MF_Connectors
1,https://www.mouser.com/ProductDetail/Phoenix-Contact/1935161?qs=W3wJikR1%252BS6eKzfFl8Rbew%3D%3D,,M025MM,SCREWTERMINAL-5MM-2,MOTOR_POWER,Standard 2-pin 0.1 header. Use with
1,https://www.mouser.com/ProductDetail/Amphenol-Commercial-Products/G800W304018EU?qs=f9yNj16SXrKi9QS16pMdvA%3D%3D,,M04PTH,1X04,JP6,Header 4
1,https://www.mouser.com/ProductDetail/CK/RKB2SJG250SMTR-LFS?qs=iLbezkQI%252Bsgsc0TY%2FPaT8A%3D%3D,,TACT_4.2MM,TACT4.2MM,SW2,Library:  MF_Switches
1,https://www.mouser.com/ProductDetail/Amphenol-FCI/10118193-0001LF?qs=sGAEpiMZZMskC5GgilGuvoS%2F1XYiAR6jEb7RQVDPIjw%3D,,USB_MICRO_RIGHT,MICROUSB-RIGHT,J1,Library:  MF_Connectors
2,https://www.mouser.com/ProductDetail/Susumu/KRL1632E-M-R150-F-T5?qs=B%2FFHBzrwtkbqYiRFE1Q74A%3D%3D,.15 Ohm,R-US_R1206,R1206,"R12, R13",RESISTOR
1,https://www.mouser.com/ProductDetail/Murata-Electronics/GCM155R71H103KA55D?qs=aEuGZpxfbxUFaK62TPaKIA%3D%3D,0.01uF,CAP0402,0402-CAP,C6,Capacitor
8,https://www.mouser.com/ProductDetail/Murata-Electronics/GCM155R71A104KA55D?qs=dNBNMwHp2UBmrB9ORE%252B4fA%3D%3D,0.1uF,CAP0402,0402-CAP,"C1, C2, C3, C4, C5, C14, C15, C16",Capacitor
